data,preco_real,preco_previsto,erro,erro_absoluto,erro_percentual_absoluto
2017-09-11,54.2,54.552927302525134,-0.3529273025251314,0.3529273025251314,0.6511573847327147
2017-09-12,55.06,54.32210752496263,0.7378924750373699,0.7378924750373699,1.3401606884078638
2017-09-13,54.2,55.914993023998456,-1.7149930239984528,1.7149930239984528,3.1641937712148573
2017-09-14,55.06,54.298435518509486,0.7615644814905167,0.7615644814905167,1.38315379856614
2017-09-15,55.52,55.42156771217238,0.09843228782762026,0.09843228782762026,0.17729158470392695
2017-09-16,56.76,55.50407758255053,1.2559224174494688,1.2559224174494688,2.2126892485015306
2017-09-17,56.18,55.62779578272667,0.5522042172733279,0.5522042172733279,0.9829195750682234
2017-09-18,55.5,56.319311017056606,-0.8193110170566058,0.8193110170566058,1.4762360667686591
2017-09-19,56.58,55.58597576639885,0.9940242336011451,0.9940242336011451,1.7568473552512287
2017-09-20,55.5,56.55457423976992,-1.05457423976992,1.05457423976992,1.9001337653512074
2017-09-21,56.58,55.719008780421866,0.860991219578132,0.860991219578132,1.5217236118383386
2017-09-22,57.2,56.935340278997586,0.26465972100241686,0.26465972100241686,0.46269181993429515
2017-09-23,57.73,57.98711866807351,-0.2571186680735096,0.2571186680735096,0.44538137549542633
2017-09-24,58.16,57.72967051768168,0.4303294823183137,0.4303294823183137,0.7399062625830704
2017-09-25,59.42,57.779825377258156,1.6401746227418457,1.6401746227418457,2.760307342211117
2017-09-26,59.77,58.91508588261656,0.8549141173834442,0.8549141173834442,1.4303398316604388
2017-09-27,59.42,59.327396388129415,0.09260361187058663,0.09260361187058663,0.15584586312788057
2017-09-28,59.77,58.86958529231631,0.9004147076836944,0.9004147076836944,1.5064659656745765
2017-09-29,58.74,59.669795459899554,-0.9297954598995517,0.9297954598995517,1.582899999828995
2017-09-30,58.8,58.56818102136863,0.2318189786313667,0.2318189786313667,0.3942499636587869
2017-10-01,57.02,58.785225652799355,-1.7652256527993515,1.7652256527993515,3.0958008642570176
2017-10-02,55.67,57.067129098301564,-1.397129098301562,1.397129098301562,2.5096624722499765
2017-10-03,56.12,56.79480410624825,-0.6748041062482528,0.6748041062482528,1.2024306953817763
2017-10-04,55.67,57.00048410768417,-1.3304841076841711,1.3304841076841711,2.3899481007439753
2017-10-05,56.12,56.407095718456446,-0.2870957184564489,0.2870957184564489,0.5115746943272432
2017-10-06,56.0,56.42621313381947,-0.42621313381947346,0.42621313381947346,0.7610948818204883
2017-10-07,57.09,56.034050607547286,1.0559493924527175,1.0559493924527175,1.8496223374544005
2017-10-08,55.5,57.30458047685308,-1.8045804768530829,1.8045804768530829,3.2514963546902393
2017-10-09,55.29,55.43605209187819,-0.14605209187818957,0.14605209187818957,0.2641564331311079
2017-10-10,56.62,55.54604030212713,1.0739596978728656,1.0739596978728656,1.8967850545264318
2017-10-11,55.29,56.79917775177637,-1.5091777517763703,1.5091777517763703,2.7295672848189008
2017-10-12,56.62,55.56486030212714,1.0551396978728604,1.0551396978728604,1.863545916412682
2017-10-13,56.13,56.76900203749065,-0.6390020374906484,0.6390020374906484,1.1384322777314242
2017-10-14,56.13,56.35688870693971,-0.22688870693971097,0.22688870693971097,0.40422003730573836
2017-10-15,56.86,56.44827800137756,0.41172199862243986,0.41172199862243986,0.7240977816082305
2017-10-16,57.49,57.07175148505371,0.418248514946292,0.418248514946292,0.7275152460363402
2017-10-17,57.63,58.03000308620189,-0.40000308620188463,0.40000308620188463,0.6940882981118942
2017-10-18,57.49,57.97590054865258,-0.48590054865258026,0.48590054865258026,0.8451914222518355
2017-10-19,57.63,57.91942810941908,-0.2894281094190774,0.2894281094190774,0.5022177848673909
2017-10-20,58.05,57.68999621964824,0.36000378035175373,0.36000378035175373,0.6201615509935465
2017-10-21,57.82,57.783780302582855,0.03621969741714537,0.03621969741714537,0.06264216087365163
2017-10-22,57.89,57.94874623892745,-0.05874623892744779,0.05874623892744779,0.10147907916297769
2017-10-23,57.69,58.046771103054176,-0.3567711030541787,0.3567711030541787,0.6184279824132063
2017-10-24,57.84,57.82168629114143,0.018313708858570976,0.018313708858570976,0.03166270549545466
2017-10-25,57.69,57.99561725315012,-0.30561725315012467,0.30561725315012467,0.5297577624373803
2017-10-26,57.84,57.9212725709736,-0.08127257097359575,0.08127257097359575,0.1405127437302831
2017-10-27,58.45,58.01515365074981,0.4348463492501935,0.4348463492501935,0.7439629585118793
2017-10-28,58.75,58.161425025869384,0.5885749741306157,0.5885749741306157,1.0018297432010481
2017-10-29,60.15,58.159315049593076,1.9906849504069228,1.9906849504069228,3.309534414641601
2017-10-30,60.65,59.34851484991713,1.3014851500828684,1.3014851500828684,2.1458947239618604
2017-10-31,61.35,59.655409740027,1.6945902599730047,1.6945902599730047,2.762168312914433
2017-11-01,60.65,61.05825395260785,-0.4082539526078506,0.4082539526078506,0.6731310018266292
2017-11-02,61.35,59.976666392706484,1.3733336072935174,1.3733336072935174,2.2385225872754972
2017-11-03,60.98,61.0534509875782,-0.07345098757820523,0.07345098757820523,0.12045094716006106
2017-11-04,60.79,60.57434009780279,0.21565990219720987,0.21565990219720987,0.3547621355440202
2017-11-05,61.42,60.599312616651225,0.8206873833487762,0.8206873833487762,1.336189162078763
2017-11-06,64.27,60.87078332101748,3.399216678982519,3.399216678982519,5.288963247211015
2017-11-07,64.36,64.33215956765314,0.02784043234686351,0.02784043234686351,0.04325735293173323
2017-11-08,64.27,64.25175111878316,0.018248881216834434,0.018248881216834434,0.028394089336913703
2017-11-09,64.36,64.27163436618794,0.0883656338120602,0.0883656338120602,0.1372989959789624
2017-11-10,63.96,64.37731081575286,-0.4173108157528631,0.4173108157528631,0.6524559345729567
2017-11-11,64.49,64.05098436092116,0.439015639078832,0.439015639078832,0.6807499442996311
2017-11-12,64.35,64.90641586802751,-0.5564158680275142,0.5564158680275142,0.8646711235858808
2017-11-13,62.94,64.33598009788815,-1.395980097888156,1.395980097888156,2.217953762135615
2017-11-14,60.91,63.61964742521611,-2.7096474252161116,2.7096474252161116,4.448608480078988
2017-11-15,62.94,61.546814483408916,1.3931855165910818,1.3931855165910818,2.2135136901669554
2017-11-16,60.91,63.211686653110625,-2.301686653110629,2.301686653110629,3.77883213447813
2017-11-17,61.25,61.20954787276465,0.040452127235347746,0.040452127235347746,0.06604428936383305
2017-11-18,61.18,61.37150850535188,-0.19150850535188368,0.19150850535188368,0.31302469001615507
2017-11-19,61.34,60.83778457678045,0.5022154232195533,0.5022154232195533,0.8187405008470057
2017-11-20,61.34,61.35604408568144,-0.016044085681436115,0.016044085681436115,0.026155992307525456
2017-11-21,62.28,61.22708599044335,1.0529140095566518,1.0529140095566518,1.6906133743684197
2017-11-22,61.34,62.27967992441047,-0.9396799244104699,0.9396799244104699,1.5319203201996574
2017-11-23,62.28,61.17519248394983,1.1048075160501725,1.1048075160501725,1.7739362813907713
2017-11-24,62.92,62.399532787658345,0.5204672123416572,0.5204672123416572,0.8271888308036509
2017-11-25,63.27,63.309969899723036,-0.03996989972303311,0.03996989972303311,0.06317354152526175
2017-11-26,63.58,63.49703048664156,0.08296951335843517,0.08296951335843517,0.13049624623849507
2017-11-27,63.25,63.675175501963935,-0.4251755019639347,0.4251755019639347,0.672214232354047
2017-11-28,63.56,63.06922045091958,0.4907795490804219,0.4907795490804219,0.7721515876029292
2017-11-29,63.25,63.68298709870054,-0.4329870987005435,0.4329870987005435,0.6845645829257605
2017-11-30,63.56,63.14159244454,0.41840755545999997,0.41840755545999997,0.6582875321900565
2017-12-01,63.74,63.062156258045334,0.6778437419546677,0.6778437419546677,1.0634511169668461
2017-12-02,63.53,63.067121444233116,0.46287855576688486,0.46287855576688486,0.7285983877961355
2017-12-03,64.57,63.16308825975675,1.4069117402432454,1.4069117402432454,2.178893821036465
2017-12-04,63.45,63.74503459728495,-0.2950345972849462,0.2950345972849462,0.4649875449723344
2017-12-05,63.45,63.521220134473204,-0.07122013447320086,0.07122013447320086,0.11224607481985951
2017-12-06,63.45,62.643329065002845,0.8066709349971575,0.8066709349971575,1.2713489913272773
2017-12-07,63.45,62.675036082546704,0.7749639174532987,0.7749639174532987,1.221377332471708
2017-12-08,62.25,62.78617370974711,-0.5361737097471106,0.5361737097471106,0.8613232285094147
2017-12-09,62.37,62.36451884486857,0.005481155131427329,0.005481155131427329,0.008788127515516001
2017-12-10,63.86,61.4927968482858,2.3672031517142003,2.3672031517142003,3.7068636888728475
2017-12-11,65.62,62.62245779144797,2.9975422085520336,2.9975422085520336,4.568031405900691
2017-12-12,64.96,65.17546976009692,-0.21546976009692287,0.21546976009692287,0.33169605926250445
2017-12-13,65.62,64.14807708990077,1.471922910099238,1.471922910099238,2.2431010516599175
2017-12-14,64.96,65.049587069312,-0.08958706931200311,0.08958706931200311,0.13791112886699985
2017-12-15,63.66,64.49346076862034,-0.8334607686203412,0.8334607686203412,1.3092377766577779
2017-12-16,63.72,63.97012610750733,-0.25012610750733444,0.25012610750733444,0.3925394028677565
2017-12-17,63.81,63.52016136607596,0.28983863392404174,0.28983863392404174,0.4542213350948781
2017-12-18,64.45,63.75081880771929,0.6991811922807116,0.6991811922807116,1.0848428119173181
2017-12-19,63.69,63.78405932504088,-0.09405932504088099,0.09405932504088099,0.14768303507753336
2017-12-20,64.45,63.3095523698108,1.1404476301892004,1.1404476301892004,1.7695075720546165
2017-12-21,63.69,63.65922425011579,0.030775749884206505,0.030775749884206505,0.04832116483624824
2017-12-22,64.43,63.40450785949354,1.025492140506465,1.025492140506465,1.5916376540531816
2017-12-23,64.64,63.7547341549183,0.8852658450816975,0.8852658450816975,1.3695325573664874
2017-12-24,64.61,63.73491657916074,0.8750834208392604,0.8750834208392604,1.3544086377329523
2017-12-26,64.61,63.57082667435822,1.0391733256417766,1.0391733256417766,1.608378464079518
2017-12-27,66.03,63.45908495334373,2.5709150466562747,2.5709150466562747,3.893556030071596
2017-12-28,64.61,65.19782803349587,-0.5878280334958674,0.5878280334958674,0.9098096788358884
2017-12-29,66.03,63.77824226348544,2.2517577365145627,2.2517577365145627,3.410204053482603
2017-12-30,66.8,65.01142415182201,1.7885758481779845,1.7885758481779845,2.677508754757462
2017-12-31,66.73,65.91931790390869,0.8106820960913126,0.8106820960913126,1.2148690185693278
2018-01-01,66.65,66.14751790191184,0.5024820980881657,0.5024820980881657,0.7539116250385081
2018-01-02,66.65,66.48453040191185,0.16546959808815132,0.16546959808815132,0.248266463748164
2018-01-03,66.65,66.35545059152616,0.29454940847384137,0.29454940847384137,0.44193459635985194
2018-01-04,66.65,66.42141756344314,0.22858243655686294,0.22858243655686294,0.3429593946839654
2018-01-05,67.85,66.661427990614,1.188572009385993,1.188572009385993,1.7517641995372042
2018-01-06,68.73,67.84107527917108,0.8889247208289248,0.8889247208289248,1.293357661616361
2018-01-07,68.01,67.55311736607388,0.4568826339261278,0.4568826339261278,0.6717874340922332
